,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,ARS
10/28/2022,1.006649,0.864114,82.350671,1.563423,1.362328,1.412645,0.996824,4.721493,147.699754,7.252334,156.036057
10/27/2022,1.001526,0.86425,82.362716,1.544216,1.353543,1.407655,0.989882,4.714796,146.011366,7.228243,155.69668
10/26/2022,0.993657,0.861563,82.010975,1.539422,1.355574,1.405711,0.986901,4.716826,146.549462,7.17346,155.409968
10/25/2022,1.003852,0.871802,82.488148,1.563574,1.361563,1.416409,0.995948,4.735091,147.820857,7.280943,155.048584
10/24/2022,1.012665,0.885427,82.806467,1.584956,1.370302,1.421593,1.00075,4.738023,148.749656,7.263646,154.74607
10/23/2022,1.013896,0.884421,82.488843,1.577364,1.361732,1.415214,0.997404,4.738905,147.406414,7.20959,153.814664
10/22/2022,1.014087,0.88456,82.534544,1.571173,1.364763,1.415205,0.997668,4.738553,147.636478,7.232767,153.815896
10/21/2022,1.014949,0.885622,82.592738,1.570721,1.368018,1.418143,0.998627,4.736237,146.45984,7.243261,153.82219
10/20/2022,1.017995,0.886031,82.666447,1.578572,1.371869,1.41997,1.000403,4.728597,149.837053,7.216334,153.500499
10/19/2022,1.022172,0.890086,82.965542,1.594317,1.378206,1.424891,1.003925,4.720063,149.770611,7.229561,153.170405
10/18/2022,1.016156,0.884525,82.306558,1.59186,1.37883,1.422392,0.996456,4.716253,149.222587,7.200249,152.821823
10/17/2022,1.015594,0.874766,82.128406,1.584826,1.371819,1.419873,0.994873,4.702041,148.717152,7.191421,152.508882
10/16/2022,1.028616,0.894785,82.299044,1.614636,1.389372,1.426497,1.005911,4.701895,149.07033,7.17666,151.688641
10/15/2022,1.028535,0.89447,82.321781,1.612814,1.388539,1.427127,1.005505,4.701858,148.779674,7.184925,151.700871
10/14/2022,1.02674,0.89204,82.309379,1.607186,1.387385,1.425881,1.004739,4.70193,148.433104,7.191195,151.604633
10/13/2022,1.02306,0.881632,82.356908,1.592646,1.375435,1.433333,0.99913,4.689699,147.160572,7.171239,151.309939
